name,description,logo,product_types,sectors,city,website,hashtags,total_funding
eNovance,Logiciel de cloud computing ouvert. Acquis par Red Hat,https://upload.prd.hbd.cloud.bpifrance.fr/da20ba51-f1a5-4fb0-b57e-447d4f955b1f,"['Software', 'Transport / Logistique', 'Finance / Administration', 'Logistique / Opérations', 'B2B', '', '', '']","['Software', 'Transport / Logistique', 'Finance / Administration', 'Logistique / Opérations', 'B2B', '', '', '']",,http://enovance.com/,[],
Pixium Vision,"Pixium Vision, créée en 2011, est une entreprise de technologie en bioélectronique et Interface Cerveau-Machine spécialisée dans les techniques de neuromodulation. Sa principale mission est de créer un monde de vision bionique pour les personnes atteintes",https://upload.prd.hbd.cloud.bpifrance.fr/b6b91c27-9b1e-475a-a58e-d284d04d9cd9,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,https://www.pixium-vision.com/fr/,"['#3D Technology', '#Software', '#Information Technology']",
Step Pharma,société de biotechnologie qui développe des médicaments pour l’oncologie et les maladies auto-immunes,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/r1UQqxwUG.com/t_api_images/jbvt7abxsbxbyzrjmv2t,"['', '', '', '', '', '']","['', '', '', '', '', '']",,http://www.step-ph.com/,"['#Pharmaceutical', '#Biotechnology', '#pharma']",
METabolic EXplorer,"METabolic EXplorer (Metex) est une entreprise de chimie biologique, qui développe des procédés de fermentation innovants à partir de matières premières renouvelables. Les composés chimiques produits entrent dans la fabrication de produits essentiels tels",https://upload.prd.hbd.cloud.bpifrance.fr/07406750-ea61-4719-b37d-aff964c7063a,"['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",,https://www.metabolic-explorer.fr/,[],
EasyMile,"Technologie software de conduite autonome avec un haut niveau de performance et de sûreté pour les passagers et les piétons. Elle est proposée en marque blanche ou bien déjà intégrée au sein de différents véhicules : navette électrique, tracteur de remorq",https://upload.prd.hbd.cloud.bpifrance.fr/48426ea6-471a-40ff-949a-4fe5ee874c36,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,http://easymile.com/,"['#Public Transportation', '#Robotics', '#Autonomous Vehicles', '#Transportation']",
Cubyn,"Solution permettant aux e-commerçants et aux marketplaces d'externaliser à moindre coût l'intégralité de leur logistique (réception des stocks, gestion de l'inventaire, envoi de commandes, gestion des retours et service client)",https://upload.prd.hbd.cloud.bpifrance.fr/3fe38aa1-083c-41a1-b85e-39975786adf6,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,https://www.cubyn.com/fr,"['#Shipping', '#Supply Chain Management', '#Logistics']",
TXCELL,TxCell develops cell-based immuno-therapies for the treatment of severe chronic inflammatory diseases.,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/B1yShnZLM.jpg,"['Santé', 'Biotech', 'Health Tech / Medtech', '', '', '', '', '', '']","['Santé', 'Biotech', 'Health Tech / Medtech', '', '', '', '', '', '']",,http://www.txcell.com/,"['#Pharmaceutical', '#Therapeutics', '#Biotechnology']",
Evaneos,"Evaneos est le leader du voyage sur mesure en direct avec une agence locale.
 
 Véritable game changer dans le secteur du tourisme, Evaneos propose une nouvelle façon d’imaginer, de préparer et de vivre un voyage personnalisé. La clé : un dialogue en direct",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/HyiT5GyIf.com/t_api_images/vb04fwhd15pj5bh6ezag,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,https://www.evaneos.fr/,"['#E-Commerce', '#Tourism', '#Travel']",
Exotrail,"Exotrail est un opérateur de mobilité spatiale de bout en bout. La société offre à ses clients la possibilité de définir leurs besoins en matière de mobilité spatiale à l'aide du logiciel d'analyse de mission spacestudio™, de répondre à ces besoins avec l",https://upload.prd.hbd.cloud.bpifrance.fr/c184c090-8ef7-46e1-a9cf-21aa3218727b,"['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",,https://www.exotrail.com/,[],
STENTYS,STENTYS offre des solutions résolument innovantes aux cardiologues interventionnels pour le traitement de l'infarctus du myocarde aigu ou d'autres maladies coronaires complexes.,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/B1xV9h-8z.png,"['', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']",,http://www.stentys.com/,"['#Medical Device', '#Health Care', '#Health Diagnostics', '#file']",
Wandercraft,Développement d'un exosquelette permettant aux personnes paraplégiques de marcher en tout autonomie.,https://upload.prd.hbd.cloud.bpifrance.fr/45fd30b4-e8fb-41ae-8741-6b300d208ba4,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.wandercraft.eu/,"['#Medical Device', '#Robotics']",
Voluntis,Healthcare software company,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/BJ9GpTKIf.png,"['Physique / Hardware', 'Santé', 'Health Tech / Medtech', 'IA / Big Data', 'Réalité Virtuelle / Augmentée', 'B2B', '', '', '', '']","['Physique / Hardware', 'Santé', 'Health Tech / Medtech', 'IA / Big Data', 'Réalité Virtuelle / Augmentée', 'B2B', '', '', '', '']",,http://www.voluntis.com/,"['#Medical Device', '#Health Care', '#Software']",
Recommerce Group,"Pionnier européen du rachat, du reconditionnement et de la vente de smartphones d'occasion",https://upload.prd.hbd.cloud.bpifrance.fr/4a80cee6-25d8-432b-884e-aa41dcb9f7cf,"['Software', 'Energie / Utilities', 'Transport / Logistique', 'Finance / Administration', 'Logistique / Opérations', 'E-Commerce', 'IA / Big Data', 'MarketPlace', '', '', '', '']","['Software', 'Energie / Utilities', 'Transport / Logistique', 'Finance / Administration', 'Logistique / Opérations', 'E-Commerce', 'IA / Big Data', 'MarketPlace', '', '', '', '']",,https://www.recommerce-group.com/,[],
Dreem,Bandeau connecté permettant d’analyser le sommeil afin de le comprendre et de mettre en place des exercices sur mesure qui favorisent un endormissement rapide et limitent les réveils nocturnes afin d'avoir un sommeil de qualité,https://upload.prd.hbd.cloud.bpifrance.fr/69b9079d-907f-4efa-9fbe-d7b44f93db1d,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,http://dreem.com/,[],
Aura Aero,"Startup développant des avions hybrides à décollage et atterrissage vertical. L’entreprise est en train d’entamer les démarches de certification et de pré-industrialisation de son premier avion et d’accompagner, grâce à sa technologie, ses premiers clients et partenaires.",https://upload.prd.hbd.cloud.bpifrance.fr/050bc697-2ca5-4948-b8ba-b77544cf2959,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,,[],
Horama,Médicaments de thérapie génique pour les maladies ophtalmologiques rares,https://upload.prd.hbd.cloud.bpifrance.fr/1c199491-3f38-4765-822f-5e5166db1cf5,"['Physique / Hardware', 'Santé', 'Deeptech', 'Health Tech / Medtech', 'B2B', '', '', '']","['Physique / Hardware', 'Santé', 'Deeptech', 'Health Tech / Medtech', 'B2B', '', '', '']",,http://www.horama.fr/,[],
Adverum Biotechnologies,société de thérapie génique au stade clinique ciblant des besoins médicaux non satisfaits en ophtalmologie et maladies rares,https://upload.prd.hbd.cloud.bpifrance.fr/e46ddaf7-6b66-46ac-8c15-608be88df39e,"['', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']",,https://adverum.com/,[],
Eyevensys,biotechnologie maladies oculaires,https://upload.prd.hbd.cloud.bpifrance.fr/6ed225cc-1622-4db4-91c3-570fa535b75c,"['Physique / Hardware', 'Santé', '', '', '', '', '', '']","['Physique / Hardware', 'Santé', '', '', '', '', '', '']",,http://www.eyevensys.com/,"['#Therapeutics', '#Medical Device', '#Biotechnology']",
Iziwork,"Iziwork - Société (ABEKA
 )
 - est une
 p
 lateforme digitale de recrutement d'intérimaires qui permet de faire face à des pics d’activité et des besoins de remplacement. Elle permet de bénéficier d'un réseau local qui garantit la proximité des talents ains",https://upload.prd.hbd.cloud.bpifrance.fr/3f78ffe2-c9c8-465c-82d7-13610402f4ad,"['', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '']",,https://www.iziwork.com/,[],
Oncodesign,Conduit des travaux de recherche et développement sur de nouveaux outils thérapeutiques et diagnostiques,https://upload.prd.hbd.cloud.bpifrance.fr/d7c03981-1fcb-45fe-a5f5-ed667301d824,"['Physique / Hardware', 'Santé', '', '', '', '', '', '']","['Physique / Hardware', 'Santé', '', '', '', '', '', '']",,http://oncodesign.com/,[],
ISORG,"Startup issue du CEA, créée en 2010, qui exploite l’électronique organique imprimée, dont l’usine de production est basée à Limoges depuis 2017.
 
 Capteurs d’images imprimables sur des surfaces en verre ou plastique, pouvant être intégrés à des écrans pour",https://upload.prd.hbd.cloud.bpifrance.fr/c4b5463d-1e1e-4915-86c4-e1961e345b05,"['', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.isorg.fr/,"['#Consumer Electronics', '#Electronics', '#Industrial']",
Strapi,Strapi est un CMS open source qui permet aux entreprises de gérer leur contenu et de le distribuer sur n'importe quelle plateforme.,https://upload.prd.hbd.cloud.bpifrance.fr/bb861341-5679-4f58-9f66-1149ec7068ff,"['Software', '', '', '', '', '', '', '', '', '']","['Software', '', '', '', '', '', '', '', '', '']",,,[],
Traxens,"TRAXENS fournit les informations les plus exhaustives, précises et opportunes au monde sur les conteneurs et les transporteurs de conteneurs, permettant à tous les acteurs du transport multimodal d'améliorer les coûts, d'optimiser les investissements et d",https://upload.prd.hbd.cloud.bpifrance.fr/5a5119db-d56b-4d21-9ef2-f459ff2d3db9,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,https://www.traxens.com/fr/,[],
Preligens,Developing artificial intelligence solutions based on an automated analysis of geospatial intelligence (GEOINT) workflows,https://upload.prd.hbd.cloud.bpifrance.fr/668d6f6e-874a-4816-8884-a26f392a4ae4,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,https://www.preligens.com/,"['#Aerospace', '#Computer Vision', '#Information Technology', '#earthcube']",
Foodles,"Imaginé en 2015, Foodles est une alternative plus flexible et plus responsable à la restauration collective traditionnelle : des produits frais et de qualité disponibles dans des frigos connectés brevetés 100% Made in France et réapprovisionnés chaque jou",https://upload.prd.hbd.cloud.bpifrance.fr/e4a345d6-01fb-44eb-91b3-7754dd62875e,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,https://www.foodles.co/,[],
NAWA Technologies,"Innovative, economically competitive, reliable and environmentally friendly Ultra-Fast Carbon battery and applied nanotechnology",https://upload.prd.hbd.cloud.bpifrance.fr/cf11fe40-681d-445d-844d-d81264c22fc8,"['', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",,http://www.nawatechnologies.com/,[],
MEDDAY PHARMACEUTICALS,"MedDay, une société de biotechnologie spécialisée dans le traitement des maladies neurologiques

#healthtech",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Bk4CrBJLM.jpg,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,http://www.medday-pharma.com/,"['#Pharmaceutical', '#Biotechnology', '#Medical']",
Depixus,"Extraction d’information issues de l’ADN, l’ARN et des protéines, utilisées pour la détection de cancers",https://upload.prd.hbd.cloud.bpifrance.fr/6a213748-d54c-4c18-b98e-ffbac5a6dd1d,"['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",,https://depixus.com/,[],
WeMaintain,"WeMaintain propose une offre de maintenance des ascenseurs, des escalators, des systèmes de sécurité incendie et des porte-automatiques à Paris et à Londres. Et elle lance un nouveau bureau à Singapour. WeMaintain met en avant la transparence de son suivi",https://upload.prd.hbd.cloud.bpifrance.fr/4d2651fe-7f3a-4f16-8578-c3ad2691f51e,"['', '', '', '', '']","['', '', '', '', '']",,https://www.wemaintain.com/fr,[],
Venture Orbital Systems,"Développer un nano-lanceur réactif, fiable et économique dédié au marché CubeSat",https://upload.prd.hbd.cloud.bpifrance.fr/d32a978b-6b37-4205-91c1-e7a01133c6e4,"['Physique / Hardware', 'Conception / R&D', 'Production / Maintenance', 'Deeptech', 'Smart Industry', 'B2B', '', '', '']","['Physique / Hardware', 'Conception / R&D', 'Production / Maintenance', 'Deeptech', 'Smart Industry', 'B2B', '', '', '']",,,[],
RECOMMERCE SOLUTIONS,MonExTel.com reprend vos anciens téléphones portables au profit de l'association de votre choix.,https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/HJMcN5m3z.jpg,"['', '', '', '', '', '']","['', '', '', '', '', '']",,http://www.monextel.com/,"['#portables', '#monextel', '#recyclage']",
Gleamer,"Dans un contexte où le nombre d’examens d’imagerie est en pleine explosion, Gleamer assiste le radiologue en utilisant l’intelligence artificielle. Son logiciel détecte des anomalies fines sur une image médicale, et les présente au praticien, sécurisant a",https://upload.prd.hbd.cloud.bpifrance.fr/a1ad9f24-2a2d-46ef-8468-690096d39f23,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,http://www.gleamer.ai/,[],
ACCO,"Acco est une société d'étude, de création, et d'exécution de plan et fabrication de tous matériels électroniques ou se rapportant à l'informatique, aux télécommunications ou à des activités annexes.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/5b817660-6a6a-4aff-afce-5f42acf1bb0a,"['B2B', 'Île-De-France', '', '', '', '']","['B2B', 'Île-De-France', '', '', '', '']",,http://www.acco-semi.com/,"['#cmos', '#semiconductor']",
AlgoTherapeutix,Traitement optique des neuropathies périphériques induites par la chimiothérapie.,https://upload.prd.hbd.cloud.bpifrance.fr/3464cacf-e76f-4497-a2cd-ae0c9d65cf7a,"['Physique / Hardware', 'Santé', '', '', '', '', '', '']","['Physique / Hardware', 'Santé', '', '', '', '', '', '']",,https://algotx.com/,[],
Unseenlabs,"Développement, production et exploitation de satellites légers (<10kg), spécialisés dans la détection des émissions électromagnétiques.
 Proposition d'un service de surveillance maritime, permettant la localisation et la caractérisation de navires en mer d",https://upload.prd.hbd.cloud.bpifrance.fr/699b3431-f3c8-4b83-8763-4f67bf62acce,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,https://unseenlabs.space/,[],
Pasqal,Développement d'ordinateurs quantiques permettant de réaliser des calculs à la demande avec une puissance de calcul allant au-delà de 100 qubits. Les processeurs sont à la fois analogues et digitaux,https://upload.prd.hbd.cloud.bpifrance.fr/9e38adaa-083a-4092-8642-029a44e0eb6b,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,https://pasqal.io/,[],
EyeLights,"Dispositifs d'aide à la conduite pour les conducteurs de deux-roues et de voitures, qui s'installe sur un casque ou se pose à proximité du pare-brise pour afficher la carte GPS, la vitesse, les applications smartphones et les appels directement dans leur",https://upload.prd.hbd.cloud.bpifrance.fr/4ccd6854-739d-4c90-9d8a-2c0e3bdc2c6b,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,https://eye-lights.com/pages/eyedrive,[],
CARDIOLOGS,"CardioLogs® fournit une technologie logicielle innovante permettant à tout professionnel de la santé de dépister avec précision et fiabilité les patients pour les maladies cardiovasculaires. 

CardioLogs® s'appuie sur une technologie d'apprentissage automatique de pointe et une expertise médicale pour fournir des services d'interprétation ECG de premier ordre.",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Hy2-ikULM.png%3Foh%3D3cfaf7d9a93134335a7f6007c1b44764%26oe%3D5AE36B48,"['Software', '', '', '', '', '', '', '', '', '', '']","['Software', '', '', '', '', '', '', '', '', '', '']",,http://cardiologs.com/,"['#Health Care', '#Health Diagnostics', '#Image Recognition', '#Software']",
Sun’R,"Conduire la révolution énergétique de manière positive, rapide et complète",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/5055e0cf-359d-4f57-8fdb-e4ba51c8ceb5,"['Physique / Hardware', 'Energie / Utilities', 'B2B', 'Île-De-France', '', '']","['Physique / Hardware', 'Energie / Utilities', 'B2B', 'Île-De-France', '', '']",,https://sunr.fr/,[],
OSE IMMUNOTHERAPEUTICS,"OSE Immunotherapeutics est une société de biotechnologie en phase clinique. Elle développe des immunothérapies innovantes, en direct ou via des partenariats, pour l'activation et la régulation immunitaire en immuno-oncologie et dans les maladies auto-immunes.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/13ce2827-b47d-496a-9baa-6bd3a9cb8d21,"['Physique / Hardware', 'Santé', '', '', '', '', '', '']","['Physique / Hardware', 'Santé', '', '', '', '', '', '']",,https://ose-immuno.com/,[],
SP3H,"Nous développons des scanners infrarouges ultra-miniaturisés, robustes, intelligents et connectés, pour les industries de procédés et le marché des transports.
Nos « FluidBOX » permettent de détecter en temps réel la composition des fluides comme les carburants, les détergents, les produits alimentaires et de transmettre l’information en mode 4.0.
Nous améliorons ainsi l’efficacité énergétique dans la production des fluides ou dans leur utilisation.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/949043a2-5a19-4438-88df-501ed3858a82,"['Physique / Hardware', '', '', '', '', '', '', '', '', '']","['Physique / Hardware', '', '', '', '', '', '', '', '', '']",,,[],
UroMems,"UroMems est une société créée en 2011 et focalisée sur la conception, le développement et la commercialisation de dispositifs médicaux implantables actifs. UroMems est née de la rencontre il y a une dizaine d’années de chercheurs, d’ingénieurs, de chirurg",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/feadef3e-e5fd-425b-a3d1-c8756cfaea84,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,http://,[],
GrAI Matter Labs,"GrAI Matter Labs, société pionnière dans le domaine des systèmes informatiques neuromorphiques à très faible consommation, a annoncé aujourd'hui avoir achevé son cycle de financement de série A, qui s'élève à 15 millions USD. Inspirées par la biologie du cerveau humain, les technologies de GrAI Matter Labs seront mises en œuvre en tant que processeurs d'applications programmables, capables de conférer à chaque appareil distant une IA dotée de capacités d'apprentissage machine.",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Sye52rQ2f.jpg,"['Physique / Hardware', 'Industrie', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Physique / Hardware', 'Industrie', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,[],
AGRICOOL,"Notre volonté ? Rendre accessible à tous des fruits et légumes excellents, sans pesticide. Aujourd’hui, nous avons mis au point une technologie qui nous permet de transformer des containers en paradis pour fruits et légumes. Résultat ? On produit, à Paris et à Dubaï, des fraises excellentes, récoltées le matin-même et vendues dans la journée.

#foodtech #Agriculture #AgTech #Farming #Food and Beverage #Food Processing #Fruit #Hydroponics #Organic Food",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/5e4c6ce2ded24c14baf4d795139ec604,"['Physique / Hardware', '', '', '', '', '', '', '', '', '']","['Physique / Hardware', '', '', '', '', '', '', '', '', '']",,http://www.agricool.co/,"['#Food and Beverage', '#Fruit', '#Organic Food', '#Food Processing', '#pesticide', '#légumes']",
Implicity,"IMPLICITY a développé une plateforme de télésurveillance pour les patients équipés de stimulateurs cardiaques et de défibrillateurs connectés.
 Destinée aux cardiologues et aux professionnels de santé, elle automatise le suivi à distance de leurs patients.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/8a832edd-f383-4f66-a2f3-fbf4b2869456,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",,http://,[],
45-8 ENERGY,"45-8 ENERGY est une entreprise française dédiée à l’exploration et à la production de deux gaz industriels écoresponsables, stratégiques et valorisés en circuit-court : l’hélium et l’hydrogène naturel, ainsi que les autres ressources qui peuvent y être associées. Une approche unique en Europe !",https://upload.prd.hbd.cloud.bpifrance.fr/8cc4909f-b8d7-4eb5-96dc-ce0d440a5df3,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",,http://www.458energy.com/,[],
Pili,"Produire des colorants et pigments biosourcés afin de réduire l'empreinte environnementale des textiles, encres, polymères, peintures et revêtements.",https://upload.prd.hbd.cloud.bpifrance.fr/4a2d51f9-4e54-4d99-95ee-98d4ecffbcc0,"['', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']",,https://www.pili.bio/,"['#Biotechnology', '#industry', '#biotech']",
Happytal,Spécialisé dans l'amélioration du quotidien des patients dans les établissements de santé,https://upload.prd.hbd.cloud.bpifrance.fr/e41ab2e4-48dc-493e-88c6-4791dced6872,"['Santé', 'Health Tech / Medtech', 'B2B', 'Île-De-France', '', '']","['Santé', 'Health Tech / Medtech', 'B2B', 'Île-De-France', '', '']",,https://www.happytal.com/,[],
eLichens,"Capteurs miniaturisés à très faible consommation d'énergie, permettant de mesurer l'air intérieur ou extérieur et pouvant être couplés à des systèmes d'alarme. Ils répondent à des enjeux pluriels de sécurité industrielle, ventilation ou climatisation par",https://upload.prd.hbd.cloud.bpifrance.fr/0351f26b-a788-493a-a8e6-4717b3e74309,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,http://www.elichens.com/,"['#Sensor', '#Consumer Electronics', '#Information Services']",
Finsecur,Un important fabricant français de produits de sécurité incendie spécifiquement pour la détection incendie,https://upload.prd.hbd.cloud.bpifrance.fr/04cdf209-3b0a-4b67-9a35-8c4f2612af89,"['Physique / Hardware', 'Sécurité / Défense', '', '', '', '', '']","['Physique / Hardware', 'Sécurité / Défense', '', '', '', '', '']",,http://www.finsecur.com/,[],
Toopi,Fournit des services de collecte d'urine et produit des engrais à base d'urine humaine pour l'agriculture,https://upload.prd.hbd.cloud.bpifrance.fr/6d82e5bd-fcfa-4253-a243-05d8231a2e9d,"['Physique / Hardware', 'Alimentaire', '', '', '', '', '', '']","['Physique / Hardware', 'Alimentaire', '', '', '', '', '', '']",,http://toopi-organics.com/,[],
Mindee,"Mindee développe des APIs d'extraction instantanée d'information qui transforment les documents en données utilisables. La brique technologique fournie par Mindee permet aux développeurs de logiciel de réduire considérablement le temps de traitement des documents avec des performances supérieures aux solutions existantes. 


#Analytics #Artificial Intelligence #Information Technology",https://upload.prd.hbd.cloud.bpifrance.fr/dddc286c-329b-454d-93d0-efd3800eea3b,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://mindee.co/,[],
SEQONE,IMPROVE YOUR GENOMIC ANALYSIS PROCESS. SeqOne provides you with an integrated system that manages your genomics analysis process from raw data to final results.,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/b5e95b22-68be-4c5c-8bce-fd65eeddd105,"['Software', 'Santé', '', '', '', '', '', '']","['Software', 'Santé', '', '', '', '', '', '']",,,[],
myElefant,Solution de marketing mobile et de messagerie pour les équipes marketing,https://upload.prd.hbd.cloud.bpifrance.fr/1f71d90f-5dab-448b-8621-5db53cf4515b,"['Software', 'Transport / Logistique', 'Logistique / Opérations', 'Marketing / Communication', 'Vente / Service Client', 'Martech /Adtech /Salestech', '', '', '', '']","['Software', 'Transport / Logistique', 'Logistique / Opérations', 'Marketing / Communication', 'Vente / Service Client', 'Martech /Adtech /Salestech', '', '', '', '']",,https://myelefant.com/,[],
MILLENDO THERAPEUTICS SAS,La recherche et le développement de nouvelles stratégies thérapeutiques dans le domaine des maladies métaboliques.,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/f22252b1-652d-49a1-8f49-b53c3504ef18,"['Auvergne-Rhône-Alpes', 'Rhône', 'Ecully', '']","['Auvergne-Rhône-Alpes', 'Rhône', 'Ecully', '']",Ecully,http://www.millendo.com/,[],
BrainEver,biotechnologie qui lutte contre les maladies neurodégénératives,https://upload.prd.hbd.cloud.bpifrance.fr/c04c2b42-0e2a-4685-a0de-c1a66ecc52c9,"['', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']",,https://brainever.com/,"['#therapeutics', '#disease', '#gene', '#therapy', '#pharmaceuticals', '#healthcare', '#disorders', '#clinical', '#parkinson', '#studies']",
Exeliom Biosciences,Développer des candidats-médicaments à souche bactérienne unique pour fournir des thérapies de premier ordre basées sur le microbiome,https://upload.prd.hbd.cloud.bpifrance.fr/2e4e9a50-2d3e-4932-87d3-8f3114f0329f,"['Physique / Hardware', 'Santé', '', '', '', '', '']","['Physique / Hardware', 'Santé', '', '', '', '', '']",,https://www.exeliombio.com/,[],
BULANE,"Bulane conçoit et fabrique des électrolyseurs innovants dédiés aux applications de combustion.
Elle commercialise notamment des gammes de générateurs hydrogène pour les applications de travail au chalumeau dans l'industrie et les services techniques.",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/HkbKLQFvf.png%3Foh%3D045b7a34b31864150eed6da32c955398%26oe%3D5ABFAC9A,"['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",,,"['#Apps', '#Renewable Energy', '#dyomix', '#sas', '#ecoparc', '#flamme', '#hydrogène', '#generadores', '#gas']",
TridekOne,Developing a novel CD31 agonist approach to modulate immune activation and so provide a new way to manage inflammatory conditions,https://upload.prd.hbd.cloud.bpifrance.fr/555241eb-9d6e-4023-9096-883984e6d638,"['Software', 'Santé', '', '', '']","['Software', 'Santé', '', '', '']",,https://tridekone.com/,[],
Sonio,Améliorer le soin de la femme enceinte grâce à l’intelligence artificielle,https://upload.prd.hbd.cloud.bpifrance.fr/39424c35-c1e3-4908-bb94-d748b190c9af,"['Software', 'Santé', '', '', '', '', '', '', '']","['Software', 'Santé', '', '', '', '', '', '', '']",,https://sonio.ai/,[],
GamaMabs Pharma,anticorps thérapeutique original pour le traitement du cancer de l’ovaire,https://upload.prd.hbd.cloud.bpifrance.fr/337ccf2d-085f-4fec-8541-9c395a0b9d87,"['Physique / Hardware', 'Santé', '', '', '', '', '', '']","['Physique / Hardware', 'Santé', '', '', '', '', '', '']",,http://www.gamamabs.com/,"['#Therapeutics', '#Health Care', '#Biotechnology']",
CROSSCALL,"CROSSCALL propose une gamme complète de téléphones mobiles et smartphones antichocs, étanches, résistants aux chocs et endurants pour les personnes férues d'activités outdoor ou pour les professionnels exigeants.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/9767f74a-188c-4d9a-b1e7-02a90931b0f9,"['Physique / Hardware', 'Telecommunications', '', '', '', '', '', '', '']","['Physique / Hardware', 'Telecommunications', '', '', '', '', '', '', '']",,https://crosscall.com/,[],
Edflex,"Plus qu’un accès simplifié à des milliers de contenus de formation en ligne, Edflex est une solution SaaS qui change la façon dont les salariés se forment au quotidien. Nous proposons plus de 40 000 contenus qualifiés par des experts (cours en ligne, vidéos, podcasts, articles…) en langues natives, et les transformons en un catalogue intuitif accessible à tout moment depuis notre solution, ou intégré dans votre LMS ou SIRH.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/691493df-d743-40ca-9d70-7ed9d290e371,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,[],
