nom,description,logo,Date dernier financement,Série,LinkedIn,Type d'organisme,SIREN,Activité principale,market,valeur_entreprise,mots_cles_def,Effectif_def,site_web_def,adresse_def,date_creation_def,Nom,Prenom,Poste,Montant_def
ark.io,"ARK empowers everyone, regardless of their aim or technical background, to quickly and easily leverage blockchain technology",https://storage.googleapis.com/dealroom-images-production/c0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMS8xMi8zMC8xYzIwYTgzMWQ3ZWQ0NjUwYTE2YjQ4ZTU3ZDY3YWYxZQ==.png,,,,,Non disponible,,,,"blockchain, media",20 à 49 salariés,,France,,,,,
armenia - ministry of high-tech industry,"The Ministry develops and implements the policy of the Government of the Republic of Armenia in the following areas: High technology, Information technology, Information Security, Digitalization, Post, Communication, International cooperation, Licensing, Space, Military industry. The goal of the Ministry is to create and strengthen conditions for balanced and sustainable development of each of the mentioned areas, as well as to to ensure the economic growth of the State.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8b27b24b-23b1-49c8-b0c9-5c932c44c29e41,,,,,Non disponible,,,,"technologie, digitalisation, cybersécurité, coopération, artificial intelligence, govtech & public sector, cybersecurity",,https://hightech.gov.am/en/,,,,,,
armor arsenal,Armor Arsenal is a modern pioneer developing multi kW electric propulsion systems with high thrust to power performance,https://storage.googleapis.com/dealroom-images-production/87/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yOC9lZDUwZjhkOTRhN2UwODIwOGZiNzU4NGViNDI2M2NjZg==.png,,,,,Non disponible,,B2B,,"deep tech, saas, space, subscription",3 à 5 salariés,,"Lannion, France",2022-01-01,,,,
aroma therapeutics,AromaCare - Votre partenaire Santé & Bien-être,https://storage.googleapis.com/dealroom-images-production/0b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy9lYWU4MDYyOTQ1MDE2ZDMwMzY1NzQ3MTBjOTJjNTU5MA==.png,,,,,Non disponible,,B2C,€800k—1m,wellness beauty,3 à 5 salariés,,"Meyreuil, France",,,,,200000.0
arpinet llc,"«Arpinet» company was founded in 2007. Initially, it provided internet access services only in Ejmiatsin city. Since 2008, in the cities of Armavir and Metsamor, as well as in the neighboring villages of Ejmiatsin. The company's goal was to provide access to innovative technological solutions for subscribers, which provided an opportunity to provide high-speed Internet and IP TV to legal entities and individuals. The company's goal is to provide subscribers with appropriate and affordable services for legal entities and individuals. «Arpinet» company was the first in Armenia to implement the «Fiber-optic in the village» strategy using GePON technology and made all services available to residents of apartment buildings and private sector of cities, as well as nearby and border villages. In 2011, the network infrastructure was almost completely upgraded with new technologies, as a result of which the company had the opportunity to provide services in the entire Armavir region.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1a5e0c5a-cde2-4afa-8096-5a58eb4c3a2f1,,,,,Non disponible,,,,"cybersecurity, cloud & infrastructure, fibreoptique, internet, iptv, arménie, mobility & smart city",,https://arpinet.am/,VAGHARSHAPAT,,,,,
arraxe,"Araxxe delivers Revenue Assurance, End-to-End Billing Verification and Interconnect Fraud Detection solutions to communication companies worldwide.",https://storage.googleapis.com/dealroom-images-production/73/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMy9lOWJhYjdkMjE5MzE1MWNkY2FkODJlOWVmOTcwNWM4NA==.png,,,,,Non disponible,,B2B,,security,50 à 99 salariés,,"Lyon, France",,,,,6000000.0
arrowapp.io,Animate text & emojis in AR,https://storage.googleapis.com/dealroom-images-production/32/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8wOS8yMS82NzliZGE4MWJmMTVmMGE5MWIwYTJlZTRmN2NlNTllZA==.png,,,,,Non disponible,,B2C,,"media, mobile app",20 à 49 salariés,,"Paris, France",,,,,455000.0
arrowman executive search,ARROWMAN Executive Search is an independent direct approach recruitment consultancy firm.,https://storage.googleapis.com/dealroom-images-production/4b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC8wMzg5Njc1Y2RiOTFkNzE3Y2I2NzdlMDljY2U1YzUxYw==.png,,,,,Non disponible,,B2B,,jobs recruitment,20 à 49 salariés,,"Paris, France",,,,,
arsen cybersecurity,"A phishing training and awareness solution, leveraging realistic simulation, microlearning and reporting - Human risk managed the right way",https://storage.googleapis.com/dealroom-images-production/bf/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMy8zODI2ZjJmOTEzMDA0YmNlNDg4MDRjYTQzOWUwZmQ2Mg==.png,,,,,Non disponible,,B2B,€10—15m,"artificial intelligence, big data, cloud & infrastructure, commission, enterprise software, machine learning, saas, security",20 à 49 salariés,,"Paris, France",2021-01-01,,,,2500000.0
art confidential,"Art Confidential is a pioneering platform launched in July 2023, dedicated to artist development and empowerment. We support over 3000 artists, facilitating partnerships with businesses to foster artistic growth and impact. Our innovative technology generates over €10,000 MRR, driving sustainable support for creatives. With a committed team of 6, we're poised for international expansion by year-end, advancing our mission to revolutionize artist support through technology. Discover more about us at www.art-confidential.com.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7a016740-a0ea-4a67-b9a9-01eca928cee21,,,,,Non disponible,,,,"entertainment & creators economy, 5g & connectivity, arttech, artistsupport, creativeeconomy, platforminnovation, education",,https://vivatechnology.com/partners/www.art-confidential.com,ANGOULÊME,,,,,
art en tête,Art En Tête est spécialisée dans la création artistique sur mesure en collaboration exclusive avec des artisans d’art français pour mettre à l’honneur leur talent et leur savoir-faire.,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_signature.png,,,,,Non disponible,,,,art,,https://art-en-tete.fr/?utm_source=LesPepitesTech.com,Paris,,,,,
art fi,ART FI is developing a bench for measuring the Specific Absorption Degree (SAR) of electromagnetic waves emitted by mobile phones,https://storage.googleapis.com/dealroom-images-production/2b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xMC8xMDZhMzI2YTkzNzE3ZGIyZmYzNmE3ZTQ5OWRmODJhZQ==.png,,,,,Non disponible,,B2C,€20—30m,"commission, deep tech, home living, manufacturing, telecom",20 à 49 salariés,,"Orsay, France",,,,,7400000.0
art for all,Auditing NFT smart contract to grade the persistence level of NFTs,https://storage.googleapis.com/dealroom-images-production/b8/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy82MTMzNzBmNzA0MmIwZjhjYzkxZGRiZmQwMTA5ZDc0Mw==.png,,,,,Non disponible,,B2B,,"blockchain, commission, crypto and defi, fintech, marketplace & ecommerce",3 à 5 salariés,,"Paris, France",2021-01-01,,,,
art tea shop,"Concept-store art & food ! Le 1er salon de thé boutique artistique à Toulouse, un concept pluridisciplinaire qui allie les arts et la cuisine à travers la valorisation des artistes et la cuisine locale faite maison !",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-final-rvb_2.jpg,,,,,Non disponible,,,,art,,https://www.art-teashop.com/?utm_source=LesPepitesTech.com,"37 Rue des Lois, Toulouse",,,,,
art&fact innovation,"We design and manufacture pylons intended to accommodate the antennas of mobile telephone operators. Our big difference lies in the fact that they respect 4 innovative criteria: - The structures are designer and architectural, integrating perfectly into the landscape and their environment. - The materials used reduce their carbon footprint and are biosourced. - Our pylons are ""vegetated"", since we grow climbing plants at the foot, the objective of which is to cover 3/4 of the structure. - Finally, the masts can accommodate bio-diversity elements, such as nest boxes or shelters for insects or bats for example.","https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/390b6725-f881-4a44-a7e0-7a6b093fcc661, https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7623e20e-59b9-4d1f-8da1-1044561baf921",,,,,Non disponible,,,,"1. télécommunications  
2. écoconception  
3. biodiversité  
4. architecture, 5g & connectivity, climate tech, mobility & smart city, b2b services, climate tech, mobility & smart city, telecommunications, sustainability, ecodesign, biodiversity",,"https://vivatechnology.com/partners/www.artetfact.eu, https://www.artetfact.eu/",LE FRANÇOIS,,,,,
art4design,"Art4Design réunit une sélection d'artistes, d'art plastique, art urbain, photographie, invités à donner une nouvelle vie au mobilier des particuliers, mais aussi pour des hôtels, des bars.",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/redo2_2.png,,,,,Non disponible,,,,art,,http://www.art4design.fr/?utm_source=LesPepitesTech.com,3 rue Redon,,,,,
artbookmagazine,Art book magazine focuses on providing books and magazines about art,https://storage.googleapis.com/dealroom-images-production/78/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wNS8zMS80MDQ2ZjE0MmQwYjkxY2FhNDM1NjIxNDIxOGU4ZjQ1NA==.png,,,,,Non disponible,,B2C,,"home living, media, publishing",50 à 99 salariés,,"Paris, France",2014-01-01,,,,
artcentrica,"ArtCentrica EDU is an online platform that transforms the learning and teaching of art and humanities through art. Offering access to over 8,000 high-resolution artworks from global museums and galleries, this unique educational tool promotes an interactive and interdisciplinary approach, enabling users to explore artworks in detail, analyze them, and present them in innovative ways. ArtCentrica EDU is designed to enrich the educational experience of both students and teachers, supporting the development of soft skills such as critical thinking and creativity through engaging and customizable content. With a strong focus on experiential and creative education, ArtCentrica aims to serve as a bridge between the global cultural heritage and the new generations. With ArtCentrica Ad Hoc, we enable a new digital experience for cultural, educational, publisher players, like we have done with National Geographic https://ngs.artcentrica.com, Brera Museum and more.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/585fcff1-1773-41df-a29a-5b68892b81e21,,,,,Non disponible,,,,"artificial intelligence, education, xr & metaverse, edtech, arteducation, culturalheritage, interactivelearning",,https://www.artcentrica.com/,FIRENZE,,,,,
arthur loyd,Arthur Loyd | Conseil en Immobilier d’Entreprise | 1er Réseau National,https://storage.googleapis.com/dealroom-images-production/80/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMi8xMi8xMC82YmZjOTdjYjJlOTc5YWZhYzE1ZWJkNzgyNzNiODJmMA==.png,,,,,Non disponible,,,,,50 à 99 salariés,,"Paris, France",1984-01-01,,,,
artilect fablab toulouse,"Collaborative space where people can learn and make almost anything! events can be organized at the fablab artilect, with or without services (catering, breakfast, etc",https://storage.googleapis.com/dealroom-images-production/3c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC9jMDAwZWU4NWYzNWQ5MTI0YjNlYWE5ZmFjY2ZkNThlYw==.png,,,,,Non disponible,,B2B,,"3d technology, b2c, education, event tech, hardware, subscription",20 à 49 salariés,,"Toulouse, France",,,,,
artpoint,"A creator of digital artistic experiences for public places, ARTPOINT, c'est la première galerie d'art numérique à destination des lieux fréquentés par le public. Nous apportons l'art dans des lieux de vie tels que des hôtels, des centres commerciaux ou encore des bureaux d'entreprise !","https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_artpoint.png, https://storage.googleapis.com/dealroom-images-production/78/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xOS9mNTk0YjlkNDAwYjdhZDE0MjVmYWJjYTRlMjQ1NDU3Ng==.png",,,,,Non disponible,,B2B,€5—7m,"art digital, saas, media, commission",50 à 99 salariés,http://www.artpoint.fr/?utm_source=LesPepitesTech.com,"130 Boulevard Diderot, Paris, Paris, France",,,,,1200000.0
artsper,An online marketplace dedicated for the sale of contemporary art,https://storage.googleapis.com/dealroom-images-production/2c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9hMTlkMTMwODAxNmZkNTFjZDAwM2NhMGE0NjU4MzI3OA==.png,,,,,Non disponible,,B2B,€8—12m,"b2c, commission, home living, marketplace & ecommerce",50 à 99 salariés,,"Paris, France",,,,,3500000.0
artur'in,Automates and personalizes the management of social networks of small businesses,https://storage.googleapis.com/dealroom-images-production/0d/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMy9iNjUzYmQzYzJmNWFlYWNkOWY2ODkwMDBhNmNhMTEzYg==.png,,,,,Non disponible,,B2B,€168—252m,"marketing, saas, subscription",50 à 99 salariés,,"Paris, France",,,,,47500000.0
artur’in,Solution marketing clé-en-main au service de la réussite digitale des entreprises locales,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/artur_logo_0.png,,,,,Non disponible,,,,réseaux sociaux,,https://www.arturin.com/?utm_source=LesPepitesTech.com,"9 Rue Christophe Colomb, 75008 Paris",,,,,
arty squad,Arty Squad is a culture and well-being subscription service for employees,https://storage.googleapis.com/dealroom-images-production/3e/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMC9kNTkwYjYyZjA0NGUzNTllY2JkNjQ0OWExYWJjODJmOA==.png,,,,,Non disponible,,B2B,,"enterprise software, saas, subscription",3 à 5 salariés,,"Paris, France",2023-01-01,,,,
aryam adaptive & regenerative solutions,Accelerating adaptation and promoting a regenerative economy respectful of the planet boundaries and people essential needs,https://storage.googleapis.com/dealroom-images-production/d2/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMi8wM2IyZWQxNmU3MmEzOTU0M2JjZGNkNGI2MmY4NzM4MA==.png,,,,,Non disponible,,B2B,,energy,3 à 5 salariés,,"Paris, France",2023-01-01,,,,
ar[t] studio,"AR[t] Studio est un studio de développement informatique, axé sur les jeux et les expériences virtuelles, pour l'art et la culture., AR[t] Studio presents our application BavAR[t], transforming the world into a museum beyond the walls, gamifying art and culture using a Pokémon Go-like mechanics. We are leveraging augmented reality to democratize access, engage a new audience, and enhance the value of cultural digital assets.","https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_dark_round.png, https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/700d06ac-f859-42fc-8dcc-62fa729797051",,,,,Non disponible,,,,"3d, gaming & esports, augmentedreality, gamification, arttech, culturalengagement, education, xr & metaverse",,"https://www.bavart.io/, https://www.bavart.io/?utm_source=LesPepitesTech.com","3 Impasse des Bluiniers, 29910 Trégunc, CONCARNEAU",,,,,
as industries,Specialist in subcontracting mechanical parts management in asia,https://storage.googleapis.com/dealroom-images-production/e0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNC9mNjViMjRkYzY0OWM0ZDY3MzhiNDQ3NGY1ZTIyNjU0Yw==.png,,,,,Non disponible,,B2B,,"manufacturing, semiconductors",20 à 49 salariés,,"Mérignac, France",,,,,818000.0
asap work,Asap work is a new temporary employment agency specializing in construction,https://storage.googleapis.com/dealroom-images-production/4a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy9kNzhiZDhkN2ZlYmJlZDEzZGMyMjQxMWRjYzljN2EwMg==.png,,,,,Non disponible,,B2B,€20—30m,"b2c, construction, jobs recruitment, real estate, saas, subscription",50 à 99 salariés,,"Paris, France",,,,,5000000.0
ascaudit groupe,"Ascaudit, a specialist in technical building engineering, in its development strategy",https://storage.googleapis.com/dealroom-images-production/4e/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8xMi8yOS84MjBmYjg0MjY2ZGQ4MDI0MDYyN2JjZmMwMWZjYWYxYg==.png,,,,,Non disponible,,B2B,€14—22m,real estate,50 à 99 salariés,,"Saint-Ouen-sur-Seine, France",2005-01-01,,,,3600000.0
ascendance flight technologies,Nous concevons et construisons l'avenir de la mobilité aérienne en tirant parti de notre technologie hybride VTOL unique et brevetée,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_ascendance_1.png,,,,,Non disponible,,,,avion,,https://www.ascendance-ft.com/?utm_source=LesPepitesTech.com,"31 Allée Jules Guesde, 31400 Toulouse",,,,,
asgard motors,Le Quad 100% électrique,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/photo-profil-insta.png,,,,,Non disponible,,,,quads,,https://www.asgard-motors.fr/?utm_source=LesPepitesTech.com,Ménestreau-en-Villette,,,,,
asking franklin,Outil SEO dédié à la détection des tendances de recherche pour optimiser ses contenus.,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logoasking_franklin_0.png,,,,,Non disponible,,,,abonnement,,https://www.askingfranklin.com/?utm_source=LesPepitesTech.com,"23 Quai des Queyries, Bordeaux",,,,,
asksensors,"Plateforme IoT cloud simple d'utilisation, conçue pour s'adapter à tout type de projet IoT. Elle permet de collecter et visualiser les données des capteurs, de commander des actionneurs à distance et de gérer les appareils connectés en temps réel.",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/rogner_2.png,,,,,Non disponible,,,,big data,,https://asksensors.com/fr/?utm_source=LesPepitesTech.com,"53 Boulevard Foch, Épinay-sur-Seine",,,,,
asobo studio,Next generation game developer,https://storage.googleapis.com/dealroom-images-production/29/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wNS8yNC9iOGQ0ZmZkNWIyN2NkZjk4Yjc5NmIxYWIyZDg1ZTk5MQ==.png,,,,,Non disponible,,B2C,,"commission, gaming, hardware, media, publishing",200 à 499 salariés,,"Bordeaux, France",,,,,
assdent,"Plateforme de mise en relation entre assistantes dentaires et chirurgiens-dentistes (emploi, RH, métier)",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/assdent_logotransparent_0.png,,,,,Non disponible,,,,dentaire,,https://www.assdent.fr/?utm_source=LesPepitesTech.com,"194 Chemin Crous Del Mouly, Brens",,,,,
assur connect,"Assur Connect courtier expert sport, mobilité et industries culturelles",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/assur_connect_v3_rvb.png,,,,,Non disponible,,,,api,,https://assur-connect.com/?utm_source=LesPepitesTech.com,11 bis rue alfred roll,,,,,
assurly,"Changez d'assurance de prêt immobilier en quelques minutes, depuis votre mobile, et bénéficiez de l’une des meilleures couvertures du marché au prix juste., Helps consumers quickly find and change their home loan insurance","https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/telechargement_11.png, https://storage.googleapis.com/dealroom-images-production/53/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMy9hZTE1NWYyZTE4NDIyZTM2YTU4ODEzNmEzMDNiMjI1Nw==.png",,,,,Non disponible,,B2C,€24—36m,"insurtech, marketplace & ecommerce, insurance, commission, fintech",20 à 49 salariés,https://www.assurly.com/?utm_source=LesPepitesTech.com,"58 Rue de la Victoire, Paris, Paris, France",,,,,11300000.0
astra by czar securities,Plug-n-play rock solid security for websites & apps,https://storage.googleapis.com/dealroom-images-production/a6/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8zMC82MmQxMWM3MDcwOGJmNTAwMzM2ZjdkNWE0NGRmYzQ4Yg==.png,,,,,Non disponible,,,,security,20 à 49 salariés,,"Le Kremlin-Bicêtre, France",2014-01-01,,,,
at bout du champ,At Bout du Champ is specializes in the distribution of local fruits and vegetables in short circuit,https://storage.googleapis.com/dealroom-images-production/c5/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC8wYzBlNzcxYTkyMTRiZjY0ODQxNDk4YzczZjI3YWRhZQ==.png,,,,,Non disponible,,B2B,,"fintech, food, in-store retail & restaurant tech",20 à 49 salariés,,"Levallois-Perret, France",2013-01-01,,,,
at internet,Applied Technologies Internet was founded in 1996,https://storage.googleapis.com/dealroom-images-production/01/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy9kNjg4OTQ4OGFhZjZiOGIyMDY4NWExMTA5MzMyNTRjNg==.png,,,,,Non disponible,,B2B,€16—24m,"big data, enterprise software, saas, subscription",50 à 99 salariés,,"Mérignac, France",1996-01-01,,,,14300000.0
atamoz,Logiciel de gestion locative en ligne déstiné aux bailleurs particuliers qui gèrent leur bien immobilier en location seul,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-atamoz-blanc.jpg,,,,,Non disponible,,,,logiciel,,https://atamoz.fr/?utm_source=LesPepitesTech.com,"3 Rue de Mailly, Caluire-et-Cuire",,,,,
atelier cologne,Creator of the Cologne Absolue,https://storage.googleapis.com/dealroom-images-production/57/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wNS8yNS9hYjVmY2ZlNmIxYTcyMGZmZjllYmNiMDIyZDJlNDQ3MA==.png,,,,,Non disponible,,,,food,20 à 49 salariés,,"Paris, France",2009-01-01,,,,
atelier nature,Reinventing nature discovery,https://storage.googleapis.com/dealroom-images-production/8f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy81NTdmYjljOGNkYjM4ZDBhYzQ1Yzg0YWU0N2RjNDA0Ng==.png,,,,,Non disponible,,B2C,€720k—1m,"augmented reality, transportation, travel",20 à 49 salariés,,"La Roche-Vineuse, France",2014-01-01,,,,180000.0
atelier nubio,Makes daily Detox cures based on fresh juices of cold-pressed raw vegetables,https://storage.googleapis.com/dealroom-images-production/96/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS82NzVhNzkwZWUxNWM1NzRkZjYwNDU4MTVhNzZlMTY4Zg==.png,,,,,Non disponible,,B2C,€6—9m,"food, innovative food, manufacturing, marketplace & ecommerce, wellness beauty",20 à 49 salariés,,"Paris, France",,,,,1500000.0
atelier particulier,"Exceptional pieces, directly from the luxury workshops, shop price",https://storage.googleapis.com/dealroom-images-production/dd/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC9lNzE1YWM0ODljYTQ2YmUwNDUxOTIwOTAzMTdmMDA0MQ==.png,,,,,Non disponible,,B2C,,home living,50 à 99 salariés,,"Versailles, France",,,,,
atimeüs,ERP métier pour les ESN ou cabinets de conseil en mode SaaS,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_364.png,,,,,Non disponible,,,,erp,,https://www.atimeus.com/?utm_source=LesPepitesTech.com,23 avenue Corentin Cariou 75019 Paris,,,,,
atlan space,"Develops a network of UAV guided by Artificial Intelligence allowing Gov to monitor very large areas, identify threats, and act",https://storage.googleapis.com/dealroom-images-production/c6/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xMC82NDA1MjRlZjhkOWI5OTY1MTc5OTg3MjM2NjJmNjA0Nw==.png,,,,,Non disponible,,B2B,€4—6m,"artificial intelligence, commission, deep tech, machine learning, manufacturing, robotics",3 à 5 salariés,,"Paris, France",,,,,1000000.0
atlendis labs,"Contributing to the protocol, a a decentralized credit protocol that enables transparent lending",https://storage.googleapis.com/dealroom-images-production/eb/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMy81NWI0Mzc0NTM2NzczNjU2NzQ4NTQ3OTljOTllNDNiMg==.png,,,,,Non disponible,,B2B,€16—24m,"b2c, blockchain, commission, crypto and defi, fintech, saas",20 à 49 salariés,,"Paris, France",2021-01-01,,,,4000000.0
atom computer,"Un ordinateur qui répond aux besoins de l’utilisateur, que l’on peut faire évoluer grâce à des modules qui s’empilent les uns sur les autres.",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/symbole_gris_blanc_0.png,,,,,Non disponible,,,,computer vision,,http://projectalie.com/?utm_source=LesPepitesTech.com,Nantes,,,,,
attestation legale,SaaS Web application through which businesses can share their administrative documents,https://storage.googleapis.com/dealroom-images-production/fd/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8xMi8yOS8xNjc3ZTUxMTBmYmI1NTE5ZTgwMTViYjJhMWIwOGVmZg==.png,,,,,Non disponible,,B2B,€20—30m,"enterprise software, legal, legal documents management, saas, subscription",50 à 99 salariés,,"Lyon, France",2012-01-01,,,,5100000.0
attractive world,Dating site for exigent people,https://storage.googleapis.com/dealroom-images-production/9f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAxNi8xMC8wOS81MWI4YTYyYmRiMmIxNTBhN2E2YjRlZWJiNDRlZjJkOA==.png,,,,,Non disponible,,B2C,,"dating, subscription",3 à 5 salariés,,"Paris, France",2007-01-01,,,,
au revoir carbone,Simulez votre transformation durable,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/arc_text_logo_horizotal.png,,,,,Non disponible,,,,accompagnement rse,,https://aurevoircarbone.earth/?utm_source=LesPepitesTech.com,Chaville,,,,,
